"title","link","processed_title","title_wordcnt","remove"
"Kansas dad admits he killed son fed to pigs","http://www.foxnews.com/us/2017/04/03/kansas-dad-admits-killed-son-fed-to-pigs.html?intcmp=latestnews","kansas dad admits  killed son fed  pigs",9,FALSE
"Baby killed in Nevada shooting, car crash","http://fxn.ws/2nQuGW0","baby killed  nevada shooting car crash",7,FALSE
"Muslim-American leaders support Australian imam's rejection of radical Islam","http://www.foxnews.com/world/2017/04/03/muslim-american-leaders-support-australian-imams-rejection-radical-islam.html?intcmp=latestnews","muslimamerican leaders support australian imams rejection  radical islam",9,FALSE
"Texas man charged after firing 'indiscriminately' at 2 men attacking his fiancée","http://www.foxnews.com/us/2017/04/03/texas-man-charged-for-firing-indiscriminately-at-2-men-attacking-his-fiance.html?intcmp=latestnews","texas man charged  firing indiscriminately  2 men attacking  fianc�e",12,FALSE
"Jordan Peele: 'Black Voices Will Tell Good Stories Just Like Anybody Else'","http://www.huffingtonpost.com/entry/jordan-peele-black-voices-will-tell-good-stories-just-like-anybody-else_us_58e27008e4b0c777f78928cb?4vve4y2oq7hn4jkyb9&ncid=inblnkushpmg00000009","jordan peele black voices will tell good stories just like anybody else",12,FALSE
"How This State Is Targeting Asian-Americans With Its Abortion Laws","http://www.huffingtonpost.com/entry/arkansas-sex-selective-abortion-ban_us_58d94aaae4b03692bea82b1d?deflayuwpoonmz33di&ncid=inblnkushpmg00000009","  state  targeting asianamericans   abortion laws",10,FALSE
"Alec Baldwin Says Angry Voicemail Hurt Daughter In A 'Permanent' Way","http://www.huffingtonpost.com/entry/alec-baldwin-says-that-angry-2007-voicemail-hurt-daughter-in-a-permanent-way_us_58e26cb9e4b0c777f7892189?007euqjddsl1ve7b9&ncid=inblnkushpmg00000009","alec baldwin says angry voicemail hurt daughter   permanent way",11,FALSE
"You Have A Role To Play In Preventing Sexual Violence--In All Its Forms","http://www.huffingtonpost.com/entry/yes-you-have-a-role-to-play-in-preventing-sexual-violence_us_58e29c4fe4b09deecf0e18df?349uibts6s1qbyb9&ncid=inblnkushpmg00000009","   role  play  preventing sexual violencein   forms",13,FALSE
"College Explores Beyoncé And Black Womanhood With 'Lemonade Week'","http://www.huffingtonpost.com/entry/college-beyonc%C3%A9-black-womanhood-lemonade-week_us_58e269b9e4b0ba359596b4f8?cvbvvt2wp3fskyb9&ncid=inblnkushpmg00000009","college explores beyonc�  black womanhood  lemonade week",9,FALSE
"Democrats Gain Enough Votes for a Filibuster on Gorsuch","https://www.nytimes.com/2017/04/03/us/politics/senate-democrats-appear-poised-to-filibuster-gorsuch-nomination.html","democrats gain enough votes   filibuster  gorsuch",9,FALSE
"Confirmation Watch: First Votes Are Cast, Along Party Lines","https://www.nytimes.com/2017/04/03/us/politics/gorsuch-confirmation.html","confirmation watch first votes  cast along party lines",9,FALSE
"VIDEO: Russia launching a terror probe into deadly subway blast ","http://bit.ly/2nQ8E5C","video russia launching  terror probe  deadly subway blast ",10,FALSE
"Russia plagued by Islamic terror attacks","http://fxn.ws/2oRlPm4","russia plagued  islamic terror attacks",6,FALSE
"SLIDESHOW: Photos of the aftermath of Russia's train bombing","http://fxn.ws/2nARaJu","slideshow photos   aftermath  russias train bombing",9,FALSE
"Bed, Bath and Beyond the truth? Retailer says Ivanka Trump line still available","http://www.foxbusiness.com/markets/2017/04/03/bed-bath-and-beyond-truth-retailer-says-ivanka-trump-line-still-available.html","bed bath  beyond  truth retailer says ivanka trump line still available",13,FALSE
"Trump will allow immigrants to obtain citizenship through military service","http://www.foxnews.com/us/2017/04/03/trump-will-allow-immigrants-to-obtain-citizenship-through-military-service.html?intcmp=latestnews","trump will allow immigrants  obtain citizenship  military service",10,FALSE
"Teen saves life of 5-year-old who fell off cliff","https://www.aol.com/article/news/2017/04/02/14-year-old-saves-life-of-5-year-old-boy-who-fell-off-15-foot-cl/22022945/","teen saves life  5yearold  fell  cliff",9,FALSE
"Tom Brady's jersey stolen again, this time by teammate Rob Gronkowski","http://www.foxnews.com/sports/2017/04/03/tom-bradys-jersey-stolen-again-this-time-by-teammate-rob-gronkowski.html?intcmp=latestnews","tom bradys jersey stolen   time  teammate rob gronkowski",11,FALSE
"Robin Shahini released from Iran prison, but his freedom isn't guaranteed","http://www.foxnews.com/world/2017/04/03/robin-shahini-released-from-iran-prison-but-his-freedom-isnt-guaranteed.html?intcmp=latestnews","robin shahini released  iran prison   freedom isnt guaranteed",11,FALSE
"Calls for college president to resign because she rejects safe spaces","https://heatst.com/world/calls-for-college-president-to-resign-because-she-rejects-safe-spaces/","calls  college president  resign   rejects safe spaces",11,FALSE
"North Korean leader Kim Jong Un 'desperate,' ready to strike US, defector says","http://www.foxnews.com/world/2017/04/03/north-korean-leader-kim-jong-un-desperate-ready-to-strike-us-defector-says.html?intcmp=latestnews","north korean leader kim jong un desperate ready  strike us defector says",13,FALSE
"Trump ready to address North Korea nuclear program with or without China","http://www.foxnews.com/politics/2017/04/02/trump-ready-to-address-north-korea-nuclear-program-with-or-without-china.html?intcmp=latestnews","trump ready  address north korea nuclear program   without china",12,FALSE
"Melania Trump Releases First Official White House Portrait","http://www.huffingtonpost.com/entry/first-lady-melania-trumps-official-photograph-has-been-released_us_58e275bce4b0ba359596d43c?is8wmm13n3jmoyldi&ncid=inblnkushpmg00000009","melania trump releases first official white house portrait",8,FALSE
"Florida Teen Throws A Punch To Escape Shark Attack","http://www.huffingtonpost.com/entry/teen-fights-shark-florida_us_58e27f36e4b0d0b7e1636ddd?mo&ncid=inblnkushpmg00000009","florida teen throws  punch  escape shark attack",9,FALSE
" White Anti-Racism Groups Don’t Help Black People","http://www.huffingtonpost.com/entry/whites-only-surj-and-the-caucasian-invasion-of-racial_us_58dd5cf7e4b04ba4a5e25209?1g&ncid=inblnkushpmg00000009"," white antiracism groups don’t help black people",7,FALSE
"Outspeak Wants Your Videos For Sexual Assault Awareness Month","http://www.huffingtonpost.com/entry/outspeak-wants-your-videos-for-sexual-assault-awareness_us_58e288f1e4b02ef7e0e6df2e?nq6e53fmlt6dbcsor&ncid=inblnkushpmg00000009","outspeak wants  videos  sexual assault awareness month",9,FALSE
"How BET's 'Rebel' Is Reshaping The Narrative For Black Women In Hollywood","http://www.huffingtonpost.com/entry/bet-rebel-danielle-mon%C3%A9-truitt-john-singleton_us_58e266e5e4b0c777f7891854?ncid=inblnkushpmg00000009"," bets rebel  reshaping  narrative  black women  hollywood",12,FALSE
"What You Need to Know About the Filibuster","https://www.nytimes.com/2017/04/03/us/politics/filibuster-supreme-court-neil-gorsuch.html","  need  know   filibuster",8,FALSE
"Trump Offers Praise for Authoritarian Leader of Egypt","https://www.nytimes.com/2017/04/03/world/middleeast/-egypt-sisi-trump-white-house.html","trump offers praise  authoritarian leader  egypt",8,FALSE
"Trump’s Staff Mixed Politics and Paydays, Filings Show","https://www.nytimes.com/2017/04/02/us/politics/trump-aides-disclosures-reveal-explosion-in-lucrative-political-work.html","trump’s staff mixed politics  paydays filings show",8,FALSE
"Trump Donates First-Quarter Salary to National Park Service","https://www.nytimes.com/2017/04/03/us/politics/national-park-service-trump-salary.html","trump donates firstquarter salary  national park service",8,FALSE
"Here’s What Administration Officials Are Worth","https://www.nytimes.com/interactive/2017/04/01/us/politics/how-much-people-in-the-trump-administration-are-worth-financial-disclosure.html","here’s  administration officials  worth",6,FALSE
"Trump Renews Phone Tapping Claims and Attacks on Clinton","https://www.nytimes.com/2017/04/03/us/politics/twitter-trump-clinton-obama.html","trump renews phone tapping claims  attacks  clinton",9,FALSE
"At Least 11 Are Killed in Subway Explosion in St. Petersburg","https://www.nytimes.com/2017/04/03/world/europe/st-petersburg-russia-explosion.html"," least 11  killed  subway explosion  st petersburg",11,FALSE
"VIDEO: Eric Shawn reports — Will China punish Kim Jong Un? ","http://bit.ly/2o3hNdd","video eric shawn reports — will china punish kim jong un ",11,FALSE
"VIDEO: Mayor of Newark, NJ blasts WH for targeting sanctuary cities ","http://bit.ly/2n5g7Rh","video mayor  newark nj blasts wh  targeting sanctuary cities ",11,FALSE
"Serial killer who murdered 13 women quizzed over 17 more attacks","https://heatst.com/world/serial-killer-who-murdered-13-women-quizzed-over-17-more-attacks/","serial killer  murdered 13 women quizzed  17  attacks",11,FALSE
"Tim Tebow opens up on his faith and future in baseball","http://www.foxnews.com/sports/2017/04/03/tim-tebow-opens-up-on-his-faith-and-future-in-baseball.html?intcmp=latestnews","tim tebow opens    faith  future  baseball",11,FALSE
"Stellar Daisy ship missing: Chemical change in cargo may have doomed freighter","http://www.foxnews.com/world/2017/04/03/stellar-daisy-ship-missing-chemical-change-in-cargo-may-have-doomed-freighter.html?intcmp=latestnews","stellar daisy ship missing chemical change  cargo may  doomed freighter",12,FALSE
"Road rager gets 15 yrs in jail","http://www.foxnews.com/auto/2017/04/03/69-year-old-gets-15-years-in-prison-for-road-rage-assault.html","road rager gets 15 yrs  jail",7,FALSE
"Trace: Trump is really like...","http://www.foxnews.com/entertainment/2017/04/03/trace-adkins-advice-for-trump-stay-off-twitter.html","trace trump  really like",5,FALSE
"WATCH: John Cena Proposes To His Girlfriend In The Middle Of WrestleMania","http://www.huffingtonpost.com/entry/john-cena-nikki-bella-engaged-wrestlemania-33_us_58e1bdf0e4b0ba359595f8f9?ncid=inblnkushpmg00000009","watch john cena proposes   girlfriend   middle  wrestlemania",12,FALSE
"Couple Creates SlayTV Network To Better Represent Black LGBTQ Community","http://www.huffingtonpost.com/entry/couple-creates-slaytv-network-to-better-represent-black-lgbtq-community_us_58dd81f1e4b0e6ac7093a9be?itvjqo9o4skqnqm2t9&ncid=inblnkushpmg00000009","couple creates slaytv network  better represent black lgbtq community",10,FALSE
"Ryan Reynolds And Melissa Joan Hart Almost Dated In The '90s","http://www.huffingtonpost.com/entry/ryan-reynolds-and-melissa-joan-hart-almost-dated_us_58e29096e4b0f4a923b0d22b?46wfreb6sshf22zkt9&ncid=inblnkushpmg00000009","ryan reynolds  melissa joan hart almost dated   90s",11,FALSE
"You Can Buy Girl Scout Cookies On Amazon, But Here's Why You Shouldn't","http://www.huffingtonpost.com/entry/girl-scout-cookies-amazon_us_58e24c7ee4b0c777f788d2db?hp6mewfi9ku01wcdi&ncid=inblnkushpmg00000009"," can buy girl scout cookies  amazon  heres   shouldnt",13,FALSE
"This Trump Impersonator Just Got His Own Late-Night Show","http://www.huffingtonpost.com/entry/the-president-show-comedy-central_us_58e2588ae4b0c777f788f67d?r42nfyixipao6crf6r&ncid=inblnkushpmg00000009"," trump impersonator just got   latenight show",9,FALSE
"THE END OF AN ERA","http://www.huffingtonpost.com/entry/undertaker-retirement-wrestlemania-33_us_58e1cc50e4b0ba359595fa93?ncid=inblnkushpmg00000009"," end   era",5,FALSE
"Truckloads of Work Visa Applications as the Deadline Nears","https://www.nytimes.com/2017/04/03/us/tech-visa-applications-h1b.html","truckloads  work visa applications   deadline nears",9,FALSE
"Online Ad Points to North Korean Work on Hydrogen Bomb","https://www.nytimes.com/2017/04/03/us/politics/north-korea-nuclear-trump-china.html","online ad points  north korean work  hydrogen bomb",10,FALSE
"How Uber Uses Psychological Tricks to Push Its Drivers’ Buttons","https://www.nytimes.com/interactive/2017/04/02/technology/uber-drivers-psychological-tricks.html"," uber uses psychological tricks  push  drivers’ buttons",10,FALSE
"How To Watch VR","/2017/03/04/vr/how-to-watch-vr","  watch vr",4,FALSE
"Model has legs for days","http://www.foxnews.com/entertainment/slideshow/2017/04/03/fox411s-snap-day.html","model  legs  days",5,FALSE
"Blake: It 'left a hole'","http://www.foxnews.com/entertainment/2017/04/03/blake-shelton-miranda-lamberts-store-closing-hurt-everyone-in-tishomingo.html","blake  left  hole",5,FALSE
"USA's best beaches for camping","http://www.foxnews.com/travel/2017/04/03/7-best-beach-camping-spots-in-america.html","usas best beaches  camping",5,FALSE
"Don't let Google follow you","http://www.foxnews.com/tech/2017/04/01/3-ways-to-search-web-without-google-tracking.html","dont let google follow ",5,FALSE
"Trump getting late night show","http://www.foxnews.com/entertainment/2017/04/03/trump-themed-late-night-show-launched-by-comedy-central.html","trump getting late night show",5,FALSE
"Cuoco: I have baby fever","http://www.foxnews.com/entertainment/2017/04/03/kaley-cuocos-friends-are-giving-her-baby-fever.html","cuoco   baby fever",5,FALSE
"Kim Kardashian Gives Up On Carrying A Third Child","http://www.huffingtonpost.com/entry/kim-kardashian-gives-up-on-carrying-third-child_us_58e214cce4b0b3918c84ae27?ncid=inblnkushpmg00000009","kim kardashian gives   carrying  third child",9,FALSE
"You Can Now Be Older Than 27 To Audition For ‘Top Model’","http://www.huffingtonpost.com/entry/tyra-banks-americas-next-top-model-antm-age-limit-contestants_us_58e27974e4b0c777f7894756?yfohfq1ruyy2jra4i&ncid=inblnkushpmg00000009"," can now  older  27  audition  ‘top model’",12,FALSE
"Video Game Lets Players Go Berserk On Controversial Anti-Trans Bus","http://www.huffingtonpost.com/entry/ignorance-fighter-ii_us_58e25fb2e4b0c777f78907a2?zq51w9tjnzlac3di&ncid=inblnkushpmg00000009","video game lets players go berserk  controversial antitrans bus",10,FALSE
"Dunkin' Donuts Franchises Reportedly Settle After Serving Man Fake Butter","http://www.huffingtonpost.com/entry/dunkin-donuts-butter-settlement_us_58e24806e4b0b3918c84e6ca?1t&ncid=inblnkushpmg00000009","dunkin donuts franchises reportedly settle  serving man fake butter",10,FALSE
"Internet Comes For Bigot Who Claims Gays 'Stole The Rainbow From God'","http://www.huffingtonpost.com/entry/bryan-fischer-rainbow-flag_us_58e28a1de4b03a26a364ebae?ncid=inblnkushpmg00000009","internet comes  bigot  claims gays stole  rainbow  god",12,FALSE
"Marvel Exec Suggests Sales Fell Because Readers 'Didn’t Want Female Characters'","http://www.huffingtonpost.com/entry/comic-female-characters-diversity_us_58e2420fe4b0ba3595965a68?y05yddac271vjwcdi&ncid=inblnkushpmg00000009","marvel exec suggests sales fell  readers didn’t want female characters",11,FALSE
"California Today: Your Responses on a State Single-Payer System","https://www.nytimes.com/2017/04/03/us/california-today-your-responses-on-a-state-single-payer-system.html","california today  responses   state singlepayer system",9,FALSE
"Hadid: 'Proud to be Muslim'","http://www.foxnews.com/entertainment/2017/04/03/bella-hadid-proud-muslim-faith.html","hadid proud   muslim",5,FALSE
"Miranda keeps bag of booze","http://www.foxnews.com/entertainment/2017/04/03/miranda-lamberts-assistant-packs-bag-alcohol-for-emergencies-meltdowns.html","miranda keeps bag  booze",5,FALSE
"Could Clint's stunt work?","http://www.foxnews.com/great-outdoors/2017/04/03/on-hollywood-weapons-terry-schappert-puts-action-stunts-to-ultimate-test.html"," clints stunt work",4,FALSE
"Critics slam mom's parenting","http://www.foxnews.com/lifestyle/2017/04/03/man-fires-back-at-critic-who-shamed-wife-for-bedsharing-with-their-kids.html","critics slam moms parenting",4,FALSE
"Jesse Williams Calls Racist 'Cotton' Promposal 'Destructive Dumbf**kery'","http://www.huffingtonpost.com/entry/jesse-williams-cotton-promposal_us_58e24ff0e4b0c777f788d79f?pw320v8c5h52ke29&ncid=inblnkushpmg00000009","jesse williams calls racist cotton promposal destructive dumbfkery",8,FALSE
"Patricia Arquette Calls Out Jeff Sessions For Ignoring Trans Deaths","http://www.huffingtonpost.com/entry/patricia-arquette-jeff-sessions-glaad_us_58e26694e4b0b3918c8535a1?qnkkymp02u2jll3di&ncid=inblnkushpmg00000009","patricia arquette calls  jeff sessions  ignoring trans deaths",10,FALSE
"Trumpcare Failure Shows Trump's 'Dealmaking' In Action","http://www.huffingtonpost.com/entry/trump-universitys-biggest-failure-healthcare-101_us_58ded3dbe4b0d804fbbb72d8?411mm1zpcu54br19k9&ncid=inblnkushpmg00000009","trumpcare failure shows trumps dealmaking  action",7,FALSE
"Former 'RuPaul's Drag Race' Star Comes Out As Transgender","http://www.huffingtonpost.com/entry/rupauls-drag-race-transgender_us_58e27161e4b0c777f7892ccb?4jgz2ht76gjeb3xr&ncid=inblnkushpmg00000009","former rupauls drag race star comes   transgender",9,FALSE
"New Podcast From 'Serial' Creators Makes History","http://www.huffingtonpost.com/entry/s-town-10-million-downloads_us_58e24214e4b0ba3595965a71?cnk&ncid=inblnkushpmg00000009","new podcast  serial creators makes history",7,FALSE
"New Children's Book Teaches Black Boys To Treat Black Girls With Respect","http://www.huffingtonpost.com/entry/new-childrens-book-teaches-black-boys-to-treat-black-girls-with-respect_us_58dec1a3e4b0b3918c837947?d3t3fub2ovoeu680k9&ncid=inblnkushpmg00000009","new childrens book teaches black boys  treat black girls  respect",12,FALSE
"Feminism Needs To Stop Being Likable","http://www.huffingtonpost.com/entry/feminism-needs-to-stop-being-likable_us_58e2986ae4b09deecf0e18d0?ftk&ncid=inblnkushpmg00000009","feminism needs  stop  likable",6,FALSE
"What to Cook This Week","https://cooking.nytimes.com/topics/what-to-cook-this-week","  cook  week",5,FALSE
"How to Live With Sleep Apnea","https://www.nytimes.com/interactive/2017/01/01/well/patient-voices-sleepapnea.html","  live  sleep apnea",6,FALSE
"Where Rural America Is ,Booming and Bustling","https://www.nytimes.com/2017/04/03/us/a-small-idaho-town-bucks-the-perception-of-rural-struggle.html"," rural america  booming  bustling",7,FALSE
"What Gonzaga and U.N.C. Need to Do to Win","https://www.nytimes.com/2017/04/03/sports/gonzaga-unc-national-championship-game-score.html"," gonzaga  unc need    win",9,FALSE
"Gonzaga Earns Chance to Prove Elite Status","https://www.nytimes.com/2017/04/02/sports/ncaabasketball/gonzaga-final-four-north-carolina.html","gonzaga earns chance  prove elite status",7,FALSE
"N.C.A.A. Women: South Carolina’s First Title Showcases Its Coach","https://www.nytimes.com/2017/04/02/sports/ncaabasketball/south-carolina-mississippi-state-ncaa-womens.html","ncaa women south carolina’s first title showcases  coach",9,FALSE
"Tesla Tops Ford in Market Cap After Best-Ever Sales Quarter","http://www.foxbusiness.com/markets/2017/04/03/tesla-tops-ford-in-market-cap-after-best-ever-sales-quarter.html","tesla tops ford  market cap  bestever sales quarter",10,FALSE
"Democrats Amass Support Needed to Block Trump High Court Pick's Confirmation Vote","http://www.foxbusiness.com/politics/2017/04/03/democrats-on-cusp-being-able-to-block-trump-high-court-picks-confirmation-vote.html","democrats amass support needed  block trump high court picks confirmation vote",12,FALSE
"You Can Take Out a Loan Against Your 401(K), But it Could Spell Disaster","http://www.foxbusiness.com/markets/2017/04/03/can-take-out-loan-against-your-401-k-but-it-could-spell-disaster.html"," can take   loan   401k    spell disaster",14,FALSE
"MLB Trades Pepsi for Coca-Cola as Soda Sponsor","http://www.foxbusiness.com/features/2017/04/03/mlb-trades-pepsi-for-coca-cola-as-soda-sponsor.html","mlb trades pepsi  cocacola  soda sponsor",8,FALSE
"Comedian Mike Epps Accused Of Animal Abuse Over Kangaroo Stunt","http://www.huffingtonpost.com/entry/mike-epps-kangaroo-animal-abuse_us_58e29c65e4b0f4a923b0edcf?65hb4e9tjv730udi&ncid=inblnkushpmg00000009","comedian mike epps accused  animal abuse  kangaroo stunt",10,FALSE
"Meet The Women Directors Revolutionizing Horror Films","http://www.huffingtonpost.com/entry/xx-anthology-women-directors-revolutionizing-horror-films_us_58e26542e4b0b3918c8533d7?section=us_arts&ncid=inblnkushpmg00000009","meet  women directors revolutionizing horror films",7,FALSE
"This 3-Year-Old With Cerebral Palsy Is An Instagram Style Star","http://www.huffingtonpost.com/entry/cerebral-palsy-fashion_us_58dea472e4b0c777f7872a11?oc41fqnf9img0t3xr&ncid=inblnkushpmg00000009"," 3yearold  cerebral palsy   instagram style star",10,FALSE
"Baseball's New Rules Are Even Sillier Than We Thought","http://www.huffingtonpost.com/entry/baseballs-new-rules-are-even-sillier-than-we-thought_us_58e25e76e4b0b3918c852381?kuh0gubu5vc1pp66r&ncid=inblnkushpmg00000009","baseballs new rules  even sillier   thought",9,FALSE
"Debt and a Failed Deal at Kushners’ Flagship Building","https://www.nytimes.com/2017/04/03/nyregion/kushner-companies-666-fifth-avenue.html","debt   failed deal  kushners’ flagship building",9,FALSE
